CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F186,F187,F188,F189,F191,F192,
,,,,,Age : Age 16 and over - Qualification; highest level of : Total\ Highest level of qualification - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : No qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 1 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 2 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 3 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 4 qualifications and above - Unit : Persons,
531,95DD12,Dunminning,Wards and Electoral Divisions,WED,2069,648,204,318,246,453,
532,95DD13,Fair Green,Wards and Electoral Divisions,WED,1435,536,150,196,132,272,
533,95DD14,Galgorm,Wards and Electoral Divisions,WED,2600,604,255,405,332,824,
534,95DD15,Glenravel,Wards and Electoral Divisions,WED,2606,657,284,396,366,681,
535,95DD16,Glenwhirry,Wards and Electoral Divisions,WED,2368,624,263,370,307,579,
536,95DD17,Grange,Wards and Electoral Divisions,WED,2658,727,239,411,317,748,
537,95DD18,Harryville,Wards and Electoral Divisions,WED,1635,698,166,187,166,254,
538,95DD19,Kells,Wards and Electoral Divisions,WED,2661,794,315,431,331,548,
539,95DD20,Moat,Wards and Electoral Divisions,WED,1442,678,213,224,116,107,
540,95DD21,Park,Wards and Electoral Divisions,WED,1744,501,206,284,183,354,
541,95DD22,Portglenone,Wards and Electoral Divisions,WED,2519,860,213,380,318,547,
542,95DD23,Slemish,Wards and Electoral Divisions,WED,2027,608,193,292,258,493,
543,95DD24,Summerfield,Wards and Electoral Divisions,WED,2152,548,244,327,263,526,
544,95EE01,Ballyhoe and Corkey,Wards and Electoral Divisions,WED,1421,443,160,251,188,241,
545,95EE02,Benvardin,Wards and Electoral Divisions,WED,1644,552,193,252,193,341,
546,95EE03,Carnany,Wards and Electoral Divisions,WED,1605,549,208,246,169,292,
547,95EE04,Clogh Mills,Wards and Electoral Divisions,WED,1602,564,174,260,199,274,
548,95EE05,Dervock,Wards and Electoral Divisions,WED,1243,421,145,193,144,245,
549,95EE06,Dunloy,Wards and Electoral Divisions,WED,1700,527,195,283,227,294,
550,95EE07,Fairhill,Wards and Electoral Divisions,WED,1407,536,198,240,152,171,
551,95EE08,Glebe,Wards and Electoral Divisions,WED,1457,468,145,203,160,357,
