version id,singleStoreSize,singleRestoreTime,restoreTime,parent,parent name,child name
881,31,66,1850,880,ILATM2_20191117_023000_smooth_nadir3seg_50pt.csv,ILATM2_20191119_024600_smooth_nadir3seg_50pt.csv
882,29,37,1821,880,ILATM2_20191117_023000_smooth_nadir3seg_50pt.csv,ILATM2_20191120_022400_smooth_nadir3seg_50pt.csv
883,20,40,1824,880,ILATM2_20191117_023000_smooth_nadir3seg_50pt.csv,ILATM2_20191110_023800_smooth_nadir3seg_50pt.csv
884,30,85,1869,880,ILATM2_20191117_023000_smooth_nadir3seg_50pt.csv,ILATM2_20191118_033700_smooth_nadir3seg_50pt.csv
885,23,63,1847,880,ILATM2_20191117_023000_smooth_nadir3seg_50pt.csv,ILATM2_20191120_021300_smooth_nadir3seg_50pt.csv
886,29,52,1836,880,ILATM2_20191117_023000_smooth_nadir3seg_50pt.csv,ILATM2_20191120_040300_smooth_nadir3seg_50pt.csv
887,28,55,1839,880,ILATM2_20191117_023000_smooth_nadir3seg_50pt.csv,ILATM2_20191119_022400_smooth_nadir3seg_50pt.csv
888,30,81,1865,880,ILATM2_20191117_023000_smooth_nadir3seg_50pt.csv,ILATM2_20191110_010600_smooth_nadir3seg_50pt.csv
889,30,46,1830,880,ILATM2_20191117_023000_smooth_nadir3seg_50pt.csv,ILATM2_20191117_014900_smooth_nadir3seg_50pt.csv
890,30,86,1916,889,ILATM2_20191117_014900_smooth_nadir3seg_50pt.csv,ILATM2_20191117_025100_smooth_nadir3seg_50pt.csv
891,29,69,1985,890,ILATM2_20191117_025100_smooth_nadir3seg_50pt.csv,ILATM2_20191120_032100_smooth_nadir3seg_50pt.csv
892,31,64,1980,890,ILATM2_20191117_025100_smooth_nadir3seg_50pt.csv,ILATM2_20191109_001300_smooth_nadir3seg_50pt.csv
893,30,83,1999,890,ILATM2_20191117_025100_smooth_nadir3seg_50pt.csv,ILATM2_20191119_024000_smooth_nadir3seg_50pt.csv
894,30,51,1967,890,ILATM2_20191117_025100_smooth_nadir3seg_50pt.csv,ILATM2_20191117_035000_smooth_nadir3seg_50pt.csv
895,23,26,1942,890,ILATM2_20191117_025100_smooth_nadir3seg_50pt.csv,ILATM2_20191119_031500_smooth_nadir3seg_50pt.csv
896,29,33,1949,890,ILATM2_20191117_025100_smooth_nadir3seg_50pt.csv,ILATM2_20191110_011200_smooth_nadir3seg_50pt.csv
897,29,34,1950,890,ILATM2_20191117_025100_smooth_nadir3seg_50pt.csv,ILATM2_20191117_022100_smooth_nadir3seg_50pt.csv
898,29,76,1992,890,ILATM2_20191117_025100_smooth_nadir3seg_50pt.csv,ILATM2_20191117_025700_smooth_nadir3seg_50pt.csv
899,29,66,1982,890,ILATM2_20191117_025100_smooth_nadir3seg_50pt.csv,ILATM2_20191120_012600_smooth_nadir3seg_50pt.csv
900,32,66,2048,899,ILATM2_20191120_012600_smooth_nadir3seg_50pt.csv,ILATM2_20191109_003000_smooth_nadir3seg_50pt.csv
901,30,47,2095,900,ILATM2_20191109_003000_smooth_nadir3seg_50pt.csv,ILATM2_20191120_015100_smooth_nadir3seg_50pt.csv
902,29,34,2082,900,ILATM2_20191109_003000_smooth_nadir3seg_50pt.csv,ILATM2_20191120_033700_smooth_nadir3seg_50pt.csv
903,30,84,2132,900,ILATM2_20191109_003000_smooth_nadir3seg_50pt.csv,ILATM2_20191110_023200_smooth_nadir3seg_50pt.csv
904,31,83,2131,900,ILATM2_20191109_003000_smooth_nadir3seg_50pt.csv,ILATM2_20191114_031600_smooth_nadir3seg_50pt.csv
905,30,77,2125,900,ILATM2_20191109_003000_smooth_nadir3seg_50pt.csv,ILATM2_20191114_030900_smooth_nadir3seg_50pt.csv
906,28,43,2091,900,ILATM2_20191109_003000_smooth_nadir3seg_50pt.csv,ILATM2_20191119_033200_smooth_nadir3seg_50pt.csv
907,27,41,2089,900,ILATM2_20191109_003000_smooth_nadir3seg_50pt.csv,ILATM2_20191119_030200_smooth_nadir3seg_50pt.csv
908,7,12,2107,901,ILATM2_20191120_015100_smooth_nadir3seg_50pt.csv,ILATM2_20191118_040000_smooth_nadir3seg_50pt.csv
909,30,47,2095,900,ILATM2_20191109_003000_smooth_nadir3seg_50pt.csv,ILATM2_20191117_023500_smooth_nadir3seg_50pt.csv
910,30,66,2161,909,ILATM2_20191117_023500_smooth_nadir3seg_50pt.csv,ILATM2_20191110_001700_smooth_nadir3seg_50pt.csv
911,30,48,2209,910,ILATM2_20191110_001700_smooth_nadir3seg_50pt.csv,ILATM2_20191109_004100_smooth_nadir3seg_50pt.csv
912,30,48,2209,910,ILATM2_20191110_001700_smooth_nadir3seg_50pt.csv,ILATM2_20191117_041900_smooth_nadir3seg_50pt.csv
913,30,77,2238,910,ILATM2_20191110_001700_smooth_nadir3seg_50pt.csv,ILATM2_20191110_014400_smooth_nadir3seg_50pt.csv
914,30,35,2196,910,ILATM2_20191110_001700_smooth_nadir3seg_50pt.csv,ILATM2_20191110_024400_smooth_nadir3seg_50pt.csv
915,33,47,2208,910,ILATM2_20191110_001700_smooth_nadir3seg_50pt.csv,ILATM2_20191119_014100_smooth_nadir3seg_50pt.csv
916,29,85,2246,910,ILATM2_20191110_001700_smooth_nadir3seg_50pt.csv,ILATM2_20191120_023100_smooth_nadir3seg_50pt.csv
917,31,52,2213,910,ILATM2_20191110_001700_smooth_nadir3seg_50pt.csv,ILATM2_20191118_034000_smooth_nadir3seg_50pt.csv
918,28,57,2218,910,ILATM2_20191110_001700_smooth_nadir3seg_50pt.csv,ILATM2_20191120_014600_smooth_nadir3seg_50pt.csv
919,28,62,2223,910,ILATM2_20191110_001700_smooth_nadir3seg_50pt.csv,ILATM2_20191118_022100_smooth_nadir3seg_50pt.csv
920,22,55,2278,919,ILATM2_20191118_022100_smooth_nadir3seg_50pt.csv,ILATM2_20191110_015700_smooth_nadir3seg_50pt.csv
921,29,71,2349,920,ILATM2_20191110_015700_smooth_nadir3seg_50pt.csv,ILATM2_20191118_015500_smooth_nadir3seg_50pt.csv
922,27,43,2321,920,ILATM2_20191110_015700_smooth_nadir3seg_50pt.csv,ILATM2_20191119_034200_smooth_nadir3seg_50pt.csv
923,30,42,2320,920,ILATM2_20191110_015700_smooth_nadir3seg_50pt.csv,ILATM2_20191114_024400_smooth_nadir3seg_50pt.csv
924,30,40,2318,920,ILATM2_20191110_015700_smooth_nadir3seg_50pt.csv,ILATM2_20191110_020600_smooth_nadir3seg_50pt.csv
925,30,70,2348,920,ILATM2_20191110_015700_smooth_nadir3seg_50pt.csv,ILATM2_20191109_005400_smooth_nadir3seg_50pt.csv
926,29,77,2355,920,ILATM2_20191110_015700_smooth_nadir3seg_50pt.csv,ILATM2_20191117_035100_smooth_nadir3seg_50pt.csv
927,30,81,2359,920,ILATM2_20191110_015700_smooth_nadir3seg_50pt.csv,ILATM2_20191109_004200_smooth_nadir3seg_50pt.csv
928,29,41,2319,920,ILATM2_20191110_015700_smooth_nadir3seg_50pt.csv,ILATM2_20191120_025300_smooth_nadir3seg_50pt.csv
929,29,67,2345,920,ILATM2_20191110_015700_smooth_nadir3seg_50pt.csv,ILATM2_20191120_013800_smooth_nadir3seg_50pt.csv
930,31,35,2380,929,ILATM2_20191120_013800_smooth_nadir3seg_50pt.csv,ILATM2_20191118_025800_smooth_nadir3seg_50pt.csv
931,29,54,2434,930,ILATM2_20191118_025800_smooth_nadir3seg_50pt.csv,ILATM2_20191120_023300_smooth_nadir3seg_50pt.csv
932,30,62,2442,930,ILATM2_20191118_025800_smooth_nadir3seg_50pt.csv,ILATM2_20191119_034500_smooth_nadir3seg_50pt.csv
933,29,48,2428,930,ILATM2_20191118_025800_smooth_nadir3seg_50pt.csv,ILATM2_20191120_020900_smooth_nadir3seg_50pt.csv
934,31,74,2454,930,ILATM2_20191118_025800_smooth_nadir3seg_50pt.csv,ILATM2_20191120_031000_smooth_nadir3seg_50pt.csv
935,29,74,2454,930,ILATM2_20191118_025800_smooth_nadir3seg_50pt.csv,ILATM2_20191117_040100_smooth_nadir3seg_50pt.csv
936,29,82,2462,930,ILATM2_20191118_025800_smooth_nadir3seg_50pt.csv,ILATM2_20191117_034800_smooth_nadir3seg_50pt.csv
937,30,50,2430,930,ILATM2_20191118_025800_smooth_nadir3seg_50pt.csv,ILATM2_20191118_032800_smooth_nadir3seg_50pt.csv
938,29,85,2465,930,ILATM2_20191118_025800_smooth_nadir3seg_50pt.csv,ILATM2_20191110_004000_smooth_nadir3seg_50pt.csv
939,29,38,2418,930,ILATM2_20191118_025800_smooth_nadir3seg_50pt.csv,ILATM2_20191110_012700_smooth_nadir3seg_50pt.csv
940,29,47,2465,939,ILATM2_20191110_012700_smooth_nadir3seg_50pt.csv,ILATM2_20191110_010800_smooth_nadir3seg_50pt.csv
941,31,85,2550,940,ILATM2_20191110_010800_smooth_nadir3seg_50pt.csv,ILATM2_20191117_014000_smooth_nadir3seg_50pt.csv
942,16,38,2503,940,ILATM2_20191110_010800_smooth_nadir3seg_50pt.csv,ILATM2_20191120_011800_smooth_nadir3seg_50pt.csv
943,30,59,2524,940,ILATM2_20191110_010800_smooth_nadir3seg_50pt.csv,ILATM2_20191117_030500_smooth_nadir3seg_50pt.csv
944,30,40,2505,940,ILATM2_20191110_010800_smooth_nadir3seg_50pt.csv,ILATM2_20191117_032300_smooth_nadir3seg_50pt.csv
945,32,42,2507,940,ILATM2_20191110_010800_smooth_nadir3seg_50pt.csv,ILATM2_20191118_034300_smooth_nadir3seg_50pt.csv
946,31,39,2504,940,ILATM2_20191110_010800_smooth_nadir3seg_50pt.csv,ILATM2_20191117_014300_smooth_nadir3seg_50pt.csv
947,30,73,2538,940,ILATM2_20191110_010800_smooth_nadir3seg_50pt.csv,ILATM2_20191117_041800_smooth_nadir3seg_50pt.csv
948,30,72,2537,940,ILATM2_20191110_010800_smooth_nadir3seg_50pt.csv,ILATM2_20191110_001000_smooth_nadir3seg_50pt.csv
949,26,64,2529,940,ILATM2_20191110_010800_smooth_nadir3seg_50pt.csv,ILATM2_20191119_023500_smooth_nadir3seg_50pt.csv
950,29,66,2595,949,ILATM2_20191119_023500_smooth_nadir3seg_50pt.csv,ILATM2_20191120_033500_smooth_nadir3seg_50pt.csv
951,27,32,2627,950,ILATM2_20191120_033500_smooth_nadir3seg_50pt.csv,ILATM2_20191118_024900_smooth_nadir3seg_50pt.csv
952,31,35,2630,950,ILATM2_20191120_033500_smooth_nadir3seg_50pt.csv,ILATM2_20191109_005700_smooth_nadir3seg_50pt.csv
953,30,68,2663,950,ILATM2_20191120_033500_smooth_nadir3seg_50pt.csv,ILATM2_20191117_020400_smooth_nadir3seg_50pt.csv
954,30,57,2652,950,ILATM2_20191120_033500_smooth_nadir3seg_50pt.csv,ILATM2_20191117_015700_smooth_nadir3seg_50pt.csv
955,16,22,2617,950,ILATM2_20191120_033500_smooth_nadir3seg_50pt.csv,ILATM2_20191110_002300_smooth_nadir3seg_50pt.csv
956,28,70,2665,950,ILATM2_20191120_033500_smooth_nadir3seg_50pt.csv,ILATM2_20191110_005100_smooth_nadir3seg_50pt.csv
957,31,53,2648,950,ILATM2_20191120_033500_smooth_nadir3seg_50pt.csv,ILATM2_20191114_031500_smooth_nadir3seg_50pt.csv
958,30,40,2635,950,ILATM2_20191120_033500_smooth_nadir3seg_50pt.csv,ILATM2_20191117_034500_smooth_nadir3seg_50pt.csv
959,29,76,2671,950,ILATM2_20191120_033500_smooth_nadir3seg_50pt.csv,ILATM2_20191109_003500_smooth_nadir3seg_50pt.csv
960,30,70,2741,959,ILATM2_20191109_003500_smooth_nadir3seg_50pt.csv,ILATM2_20191117_015100_smooth_nadir3seg_50pt.csv
961,30,42,2783,960,ILATM2_20191117_015100_smooth_nadir3seg_50pt.csv,ILATM2_20191117_025200_smooth_nadir3seg_50pt.csv
962,30,61,2802,960,ILATM2_20191117_015100_smooth_nadir3seg_50pt.csv,ILATM2_20191119_025000_smooth_nadir3seg_50pt.csv
963,30,58,2799,960,ILATM2_20191117_015100_smooth_nadir3seg_50pt.csv,ILATM2_20191117_020300_smooth_nadir3seg_50pt.csv
964,29,63,2804,960,ILATM2_20191117_015100_smooth_nadir3seg_50pt.csv,ILATM2_20191120_014000_smooth_nadir3seg_50pt.csv
965,29,82,2823,960,ILATM2_20191117_015100_smooth_nadir3seg_50pt.csv,ILATM2_20191120_014200_smooth_nadir3seg_50pt.csv
966,29,34,2775,960,ILATM2_20191117_015100_smooth_nadir3seg_50pt.csv,ILATM2_20191120_030100_smooth_nadir3seg_50pt.csv
967,29,60,2801,960,ILATM2_20191117_015100_smooth_nadir3seg_50pt.csv,ILATM2_20191118_022500_smooth_nadir3seg_50pt.csv
968,30,41,2782,960,ILATM2_20191117_015100_smooth_nadir3seg_50pt.csv,ILATM2_20191117_035500_smooth_nadir3seg_50pt.csv
969,29,55,2796,960,ILATM2_20191117_015100_smooth_nadir3seg_50pt.csv,ILATM2_20191117_033400_smooth_nadir3seg_50pt.csv
970,86,86,86,-1,
971,28,57,143,970,ILATM2_20191119_015600_smooth_nadir3seg_50pt.csv,ILATM2_20191109_004900_smooth_nadir3seg_50pt.csv
